"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 15 07:20:51 UTC 2024","Sun Dec 15 07:20:52 UTC 2024","800","tests.api.tests_filters","test_filters_payment","","","","test_get_filters_payment_dev[8-2024-239]",""
"passed","Sun Dec 15 07:20:58 UTC 2024","Sun Dec 15 07:20:59 UTC 2024","614","tests.api.tests_fin_stats","test_fin_stats","","","","test_get_fin_stats_dev[8-2024-40]",""
"passed","Sun Dec 15 07:20:50 UTC 2024","Sun Dec 15 07:20:51 UTC 2024","871","tests.api.test_password","test_change_password","","","","Тест изменения пароля","Тест проверяет запрос на смену пароля по API."
"passed","Sun Dec 15 07:20:59 UTC 2024","Sun Dec 15 07:20:59 UTC 2024","685","tests.api.tests_fin_stats","test_fin_stats","","","","test_get_fin_stats_dev[9-2024-775]",""
"passed","Sun Dec 15 07:20:56 UTC 2024","Sun Dec 15 07:20:57 UTC 2024","1712","tests.api.tests_filters","test_filters_payout","","","","test_get_filters_payout_dev[9-2024-933]",""
"passed","Sun Dec 15 07:21:17 UTC 2024","Sun Dec 15 07:21:27 UTC 2024","10683","tests.ui.auth","test_login","","","","Тест логина для юзера apexknight@yandex.ru в окружении dev",""
"passed","Sun Dec 15 07:21:00 UTC 2024","Sun Dec 15 07:21:01 UTC 2024","612","tests.api.tests_paymentgate","test_get_info_payment","","","","Тест запроса info для платежа","Тест проверяет запрос инфо для платежа API, Для апи тестов не добавляю шаги тк там чувствительная информация."
"passed","Sun Dec 15 07:20:52 UTC 2024","Sun Dec 15 07:20:53 UTC 2024","1659","tests.api.tests_filters","test_filters_payment","","","","test_get_filters_payment_dev[9-2024-485]",""
"passed","Sun Dec 15 07:21:30 UTC 2024","Sun Dec 15 07:21:37 UTC 2024","6725","tests.ui.change_password","test_change_password","","","","Тест смены пароля для юзера apexknight@yandex.ru",""
"passed","Sun Dec 15 07:20:53 UTC 2024","Sun Dec 15 07:20:55 UTC 2024","1852","tests.api.tests_filters","test_filters_payment","","","","test_get_filters_payment_dev[10-2024-498]",""
"passed","Sun Dec 15 07:21:01 UTC 2024","Sun Dec 15 07:21:01 UTC 2024","705","tests.api.tests_registry","test_send_registry","","","","test_send_registry_dev[apex69knight@gmail.com-2024-09-01 00:00:00-2024-09-30 23:59:59-174-200-Starting send registry]",""
"passed","Sun Dec 15 07:20:55 UTC 2024","Sun Dec 15 07:20:56 UTC 2024","664","tests.api.tests_filters","test_filters_payout","","","","test_get_filters_payout_dev[8-2024-84]",""
"passed","Sun Dec 15 07:20:57 UTC 2024","Sun Dec 15 07:20:58 UTC 2024","627","tests.api.tests_filters","test_filters_payout","","","","test_get_filters_payout_dev[10-2024-56]",""
"passed","Sun Dec 15 07:20:59 UTC 2024","Sun Dec 15 07:21:00 UTC 2024","602","tests.api.tests_fin_stats","test_fin_stats","","","","test_get_fin_stats_dev[10-2024-2]",""
